Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-5Q4W7,Study sample,0028_XAV_iHMP2_FFA_SM-5Q4W7.raw,,3/1/2017,3/3/2017,1,32,
SM-5QVZ9,Study sample,0120_XAV_iHMP2_FFA_SM-5QVZ9.raw,,3/3/2017,3/5/2017,1,131,
SM-5QVZD,Study sample,0417_XAV_iHMP2_FFA_SM-5QVZD.raw,,3/9/2017,3/11/2017,1,456,
SM-5U5DE,Study sample,0469_XAV_iHMP2_FFA_SM-5U5DE.raw,,3/10/2017,3/12/2017,1,514,
SM-5WXZX,Study sample,0122_XAV_iHMP2_FFA_SM-5WXZX.raw,,3/3/2017,3/5/2017,1,135,
SM-5XHHR,Study sample,0186_XAV_iHMP2_FFA_SM-5XHHR.raw,,3/3/2017,3/6/2017,1,205,
SM-5ZNHM,Study sample,0029_XAV_iHMP2_FFA_SM-5ZNHM.raw,,3/1/2017,3/3/2017,1,33,
SM-5ZNHS,Study sample,0296_XAV_iHMP2_FFA_SM-5ZNHS.raw,,3/7/2017,3/8/2017,1,325,
SM-5ZZL9,Study sample,0093_XAV_iHMP2_FFA_SM-5ZZL9.raw,,3/3/2017,3/4/2017,1,103,
SM-61N7T,Study sample,0341_XAV_iHMP2_FFA_SM-61N7T.raw,,3/8/2017,3/9/2017,1,374,
SM-61NJ9,Study sample,0279_XAV_iHMP2_FFA_SM-61NJ9.raw,,3/7/2017,3/8/2017,1,306,
SM-61U3T,Study sample,0084_XAV_iHMP2_FFA_SM-61U3T.raw,,3/1/2017,3/4/2017,1,94,
SM-61YN5,Study sample,0245_XAV_iHMP2_FFA_SM-61YN5.raw,,3/6/2017,3/7/2017,1,270,
SM-62ARQ,Study sample,0378_XAV_iHMP2_FFA_SM-62ARQ.raw,,3/9/2017,3/10/2017,1,413,
SM-63ZAH,Study sample,0195_XAV_iHMP2_FFA_SM-63ZAH.raw,,3/6/2017,3/6/2017,1,214,
SM-64NA9,Study sample,0416_XAV_iHMP2_FFA_SM-64NA9.raw,,3/9/2017,3/11/2017,1,455,
SM-65GXK,Study sample,0158_XAV_iHMP2_FFA_SM-65GXK.raw,,3/3/2017,3/5/2017,1,173,
SM-67WTX,Study sample,0276_XAV_iHMP2_FFA_SM-67WTX.raw,,3/7/2017,3/8/2017,1,303,
SM-689O4,Study sample,0266_XAV_iHMP2_FFA_SM-689O4.raw,,3/7/2017,3/8/2017,1,293,
SM-689SS,Study sample,0094_XAV_iHMP2_FFA_SM-689SS.raw,,3/3/2017,3/4/2017,1,104,
SM-69UMY,Study sample,0188_XAV_iHMP2_FFA_SM-69UMY.raw,,3/3/2017,3/6/2017,1,207,
SM-6AXJO,Study sample,0240_XAV_iHMP2_FFA_SM-6AXJO.raw,,3/6/2017,3/7/2017,1,263,
SM-6BKS1,Study sample,0081_XAV_iHMP2_FFA_SM-6BKS1.raw,,3/1/2017,3/4/2017,1,91,
SM-6BQPK,Study sample,0320_XAV_iHMP2_FFA_SM-6BQPK.raw,,3/8/2017,3/9/2017,1,349,
SM-6CAJC,Study sample,0024_XAV_iHMP2_FFA_SM-6CAJC.raw,,3/1/2017,3/3/2017,1,28,
SM-6CAJI,Study sample,0473_XAV_iHMP2_FFA_SM-6CAJI.raw,,3/10/2017,3/12/2017,1,518,
SM-6CAKR,Study sample,0549a_0117ri_XAV_iHMP2_FFA_SM-6CAKR.raw,,3/3/2017,3/14/2017,1,602,
SM-6DRTP,Study sample,0248_XAV_iHMP2_FFA_SM-6DRTP.raw,,3/6/2017,3/7/2017,1,273,
SM-6EFPD,Study sample,0278_XAV_iHMP2_FFA_SM-6EFPD.raw,,3/7/2017,3/8/2017,1,305,
SM-6FNVI,Study sample,0304_XAV_iHMP2_FFA_SM-6FNVI.raw,,3/7/2017,3/8/2017,1,333,
SM-6FNW6,Study sample,0270_XAV_iHMP2_FFA_SM-6FNW6.raw,,3/7/2017,3/8/2017,1,297,
SM-6GH65,Study sample,0190_XAV_iHMP2_FFA_SM-6GH65.raw,,3/3/2017,3/6/2017,1,209,
SM-6HUBR,Study sample,0129_XAV_iHMP2_FFA_SM-6HUBR.raw,,3/3/2017,3/5/2017,1,142,
SM-6HUG5,Study sample,0336_XAV_iHMP2_FFA_SM-6HUG5.raw,,3/8/2017,3/9/2017,1,367,
SM-6J3OB,Study sample,0379_XAV_iHMP2_FFA_SM-6J3OB.raw,,3/9/2017,3/10/2017,1,414,
SM-6JWO4,Study sample,0001_XAV_iHMP2_FFA_SM-6JWO4.raw,,3/1/2017,3/2/2017,1,3,
SM-6KUC9,Study sample,0196_XAV_iHMP2_FFA_SM-6KUC9.raw,,3/6/2017,3/6/2017,1,215,
SM-6KUCD,Study sample,0268_XAV_iHMP2_FFA_SM-6KUCD.raw,,3/7/2017,3/8/2017,1,295,
SM-6KUCH,Study sample,0318_XAV_iHMP2_FFA_SM-6KUCH.raw,,3/8/2017,3/9/2017,1,347,
SM-6KUCT,Study sample,0030_XAV_iHMP2_FFA_SM-6KUCT.raw,,3/1/2017,3/3/2017,1,34,
SM-6KUD2,Study sample,0374_XAV_iHMP2_FFA_SM-6KUD2.raw,,3/9/2017,3/10/2017,1,409,
SM-6M2VX,Study sample,0224_XAV_iHMP2_FFA_SM-6M2VX.raw,,3/6/2017,3/7/2017,1,247,
SM-6M48S,Study sample,0415_XAV_iHMP2_FFA_SM-6M48S.raw,,3/9/2017,3/11/2017,1,454,
SM-6MSSO,Study sample,0295_XAV_iHMP2_FFA_SM-6MSSO.raw,,3/7/2017,3/8/2017,1,324,
SM-6MSSW,Study sample,0159_XAV_iHMP2_FFA_SM-6MSSW.raw,,3/3/2017,3/5/2017,1,174,
SM-6MYZ2,Study sample,0421_XAV_iHMP2_FFA_SM-6MYZ2.raw,,3/9/2017,3/11/2017,1,462,
SM-6OLSC,Study sample,0306_XAV_iHMP2_FFA_SM-6OLSC.raw,,3/7/2017,3/8/2017,1,335,
SM-6OOEJ,Study sample,0325_XAV_iHMP2_FFA_SM-6OOEJ.raw,,3/8/2017,3/9/2017,1,356,
SM-6OSOU,Study sample,0275_XAV_iHMP2_FFA_SM-6OSOU.raw,,3/7/2017,3/8/2017,1,302,
SM-6Q4FM,Study sample,0260_XAV_iHMP2_FFA_SM-6Q4FM.raw,,3/7/2017,3/7/2017,1,285,
SM-6Q4FQ,Study sample,0092_XAV_iHMP2_FFA_SM-6Q4FQ.raw,,3/3/2017,3/4/2017,1,102,
SM-6RB9P,Study sample,0238_XAV_iHMP2_FFA_SM-6RB9P.raw,,3/6/2017,3/7/2017,1,261,
SM-6SF6T,Study sample,0142_XAV_iHMP2_FFA_SM-6SF6T.raw,,3/3/2017,3/5/2017,1,157,
SM-6SSMY,Study sample,0152_XAV_iHMP2_FFA_SM-6SSMY.raw,,3/3/2017,3/5/2017,1,167,
SM-6TO52,Study sample,0274_XAV_iHMP2_FFA_SM-6TO52.raw,,3/7/2017,3/8/2017,1,301,
SM-6WJN1,Study sample,0470_XAV_iHMP2_FFA_SM-6WJN1.raw,,3/10/2017,3/12/2017,1,515,
SM-6WOC1,Study sample,0121_XAV_iHMP2_FFA_SM-6WOC1.raw,,3/3/2017,3/5/2017,1,134,
SM-6WU1I,Study sample,0012_XAV_iHMP2_FFA_SM-6WU1I.raw,,3/1/2017,3/2/2017,1,14,
SM-6X9W2,Study sample,0172_XAV_iHMP2_FFA_SM-6X9W2.raw,,3/3/2017,3/6/2017,1,189,
SM-6X9W6,Study sample,0131_XAV_iHMP2_FFA_SM-6X9W6.raw,,3/3/2017,3/5/2017,1,144,
SM-6X9WA,Study sample,0116_XAV_iHMP2_FFA_SM-6X9WA.raw,,3/3/2017,3/4/2017,1,128,
SM-6X9WE,Study sample,0006_XAV_iHMP2_FFA_SM-6X9WE.raw,,3/1/2017,3/2/2017,1,8,
SM-6X9WM,Study sample,0316_XAV_iHMP2_FFA_SM-6X9WM.raw,,3/8/2017,3/9/2017,1,345,
SM-6X9WU,Study sample,0338_XAV_iHMP2_FFA_SM-6X9WU.raw,,3/8/2017,3/9/2017,1,369,
SM-6XJTB,Study sample,0380_XAV_iHMP2_FFA_SM-6XJTB.raw,,3/9/2017,3/10/2017,1,415,
SM-6XJTF,Study sample,0305_XAV_iHMP2_FFA_SM-6XJTF.raw,,3/7/2017,3/8/2017,1,334,
SM-6XJTN,Study sample,0246_XAV_iHMP2_FFA_SM-6XJTN.raw,,3/6/2017,3/7/2017,1,271,
SM-6XJUC,Study sample,0225_XAV_iHMP2_FFA_SM-6XJUC.raw,,3/6/2017,3/7/2017,1,248,
SM-6XNM3,Study sample,0085_XAV_iHMP2_FFA_SM-6XNM3.raw,,3/1/2017,3/4/2017,1,95,
SM-6XRKG,Study sample,0165_XAV_iHMP2_FFA_SM-6XRKG.raw,,3/3/2017,3/6/2017,1,182,
SM-6XSL6,Study sample,0432_XAV_iHMP2_FFA_SM-6XSL6.raw,,3/9/2017,3/11/2017,1,473,
SM-6XSLI,Study sample,0549_XAV_iHMP2_FFA_SM-6XSLI.raw,,3/13/2017,3/14/2017,1,601,
