Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-5Q4W7,Study sample,0028_XAV_iHMP2_LIP_SM-5Q4W7.raw,,4/5/2017,4/6/2017,1,30,PREFB02
SM-5QVZ9,Study sample,0120_XAV_iHMP2_LIP_SM-5QVZ9.raw,,4/6/2017,4/7/2017,1,128,PREFB08
SM-5QVZD,Study sample,0417_XAV_iHMP2_LIP_SM-5QVZD.raw,,4/11/2017,4/12/2017,1,450,PREFB22
SM-5U5DE,Study sample,0469_XAV_iHMP2_LIP_SM-5U5DE.raw,,4/11/2017,4/13/2017,1,508,PREFB24
SM-5WXZX,Study sample,0122_XAV_iHMP2_LIP_SM-5WXZX.raw,,4/6/2017,4/7/2017,1,130,PREFB08
SM-5XHHR,Study sample,0186_XAV_iHMP2_LIP_SM-5XHHR.raw,,4/6/2017,4/8/2017,1,197,PREFB10
SM-5ZNHM,Study sample,0029_XAV_iHMP2_LIP_SM-5ZNHM.raw,,4/5/2017,4/6/2017,1,31,PREFB02
SM-5ZNHS,Study sample,0296_XAV_iHMP2_LIP_SM-5ZNHS.raw,,4/7/2017,4/10/2017,1,311,PREFB16
SM-5ZZL9,Study sample,0093_XAV_iHMP2_LIP_SM-5ZZL9.raw,,4/6/2017,4/7/2017,1,100,PREFB06
SM-61N7T,Study sample,0341_XAV_iHMP2_LIP_SM-61N7T.raw,,4/10/2017,4/11/2017,1,364,PREFB18
SM-61NJ9,Study sample,0279_XAV_iHMP2_LIP_SM-61NJ9.raw,,4/7/2017,4/10/2017,1,297,PREFB15
SM-61U3T,Study sample,0084_XAV_iHMP2_LIP_SM-61U3T.raw,,4/5/2017,4/7/2017,1,91,PREFB05
SM-61YN5,Study sample,0245_XAV_iHMP2_LIP_SM-61YN5.raw,,4/7/2017,4/9/2017,1,262,PREFB14
